verb_surface,occurrences,total_args,role_direct_object,role_imperf_verb,role_prep_phrase,role_subject,role_state,role_predicate,role_imper_verb,role_past_verb,role_subject_nominal,role_cognate,role_purpose,role_specifier,role_comitative
يختلفون,10,8,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
يذكرون,10,12,3.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
فيكون,10,11,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
دعوا,10,36,10.0,5.0,11.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
يأت,10,38,3.0,6.0,14.0,5.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
يرسل,10,48,12.0,9.0,18.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
هادوا,10,44,4.0,2.0,22.0,1.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0
بلغ,10,48,12.0,6.0,16.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0
رأوا,10,43,11.0,6.0,10.0,1.0,2.0,2.0,0.0,8.0,1.0,1.0,0.0,1.0,0.0
أخرج,10,43,8.0,3.0,19.0,1.0,3.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0
وجاهدوا,10,52,1.0,2.0,35.0,1.0,0.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0
اتبع,10,47,12.0,3.0,17.0,4.0,2.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
