root,past_3sg_m,bab,transitivity,masdar,هو_3sg_m,هي_3sg_f,هما_3du_m,هما_3du_f,هم_3pl_m,هن_3pl_f,أنتَ_2sg_m,أنتِ_2sg_f,أنتما_2du,أنتم_2pl_m,أنتن_2pl_f,أنا_1sg,نحن_1pl
كمح,كَمَحَ,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,كَمْح,كَمَحَ,كَمَحَتْ,كَمَحَا,كَمَحَتَا,كَمَحُوا,كَمَحْنَ,كَمَحْتَ,كَمَحْتِ,كَمَحْتُمَا,كَمَحْتُمْ,كَمَحْتُنَّ,كَمَحْتُ,كَمَحْنَا
كمخ,كَمَخَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,كُمُوخ,كَمَخَ,كَمَخَتْ,كَمَخَا,كَمَخَتَا,كَمَخُوا,كَمَخْنَ,كَمَخْتَ,كَمَخْتِ,كَمَخْتُمَا,كَمَخْتُمْ,كَمَخْتُنَّ,كَمَخْتُ,كَمَخْنَا
كمد,كَمَدَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,كَمْد,كَمَدَ,كَمَدَتْ,كَمَدَا,كَمَدَتَا,كَمَدُوا,كَمَدْنَ,كَمَدْتَ,كَمَدْتِ,كَمَدْتُمَا,كَمَدْتُمْ,كَمَدْتُنَّ,كَمَدْتُ,كَمَدْنَا
كمد,كَمِدَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَمَد,كَمِدَ,كَمِدَتْ,كَمِدَا,كَمِدَتَا,كَمِدُوا,كَمِدْنَ,كَمِدْتَ,كَمِدْتِ,كَمِدْتُمَا,كَمِدْتُمْ,كَمِدْتُنَّ,كَمِدْتُ,كَمِدْنَا
كمر,كَمِرَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَمَر,كَمِرَ,كَمِرَتْ,كَمِرَا,كَمِرَتَا,كَمِرُوا,كَمِرْنَ,كَمِرْتَ,كَمِرْتِ,كَمِرْتُمَا,كَمِرْتُمْ,كَمِرْتُنَّ,كَمِرْتُ,كَمِرْنَا
خرز,خَرَزَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,خَرْز,خَرَزَ,خَرَزَتْ,خَرَزَا,خَرَزَتَا,خَرَزُوا,خَرَزْنَ,خَرَزْتَ,خَرَزْتِ,خَرَزْتُمَا,خَرَزْتُمْ,خَرَزْتُنَّ,خَرَزْتُ,خَرَزْنَا
كمز,كَمَزَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,كَمْز,كَمَزَ,كَمَزَتْ,كَمَزَا,كَمَزَتَا,كَمَزُوا,كَمَزْنَ,كَمَزْتَ,كَمَزْتِ,كَمَزْتُمَا,كَمَزْتُمْ,كَمَزْتُنَّ,كَمَزْتُ,كَمَزْنَا
كمس,كَمَسَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,كُمُوس,كَمَسَ,كَمَسَتْ,كَمَسَا,كَمَسَتَا,كَمَسُوا,كَمَسْنَ,كَمَسْتَ,كَمَسْتِ,كَمَسْتُمَا,كَمَسْتُمْ,كَمَسْتُنَّ,كَمَسْتُ,كَمَسْنَا
كمش,كَمَشَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,كَمْش,كَمَشَ,كَمَشَتْ,كَمَشَا,كَمَشَتَا,كَمَشُوا,كَمَشْنَ,كَمَشْتَ,كَمَشْتِ,كَمَشْتُمَا,كَمَشْتُمْ,كَمَشْتُنَّ,كَمَشْتُ,كَمَشْنَا
كمش,كَمِشَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَمَش,كَمِشَ,كَمِشَتْ,كَمِشَا,كَمِشَتَا,كَمِشُوا,كَمِشْنَ,كَمِشْتَ,كَمِشْتِ,كَمِشْتُمَا,كَمِشْتُمْ,كَمِشْتُنَّ,كَمِشْتُ,كَمِشْنَا
كمش,كَمُشَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,كَمَاشَة,كَمُشَ,كَمُشَتْ,كَمُشَا,كَمُشَتَا,كَمُشُوا,كَمُشْنَ,كَمُشْتَ,كَمُشْتِ,كَمُشْتُمَا,كَمُشْتُمْ,كَمُشْتُنَّ,كَمُشْتُ,كَمُشْنَا
كمع,كَمَعَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,كَمْع,كَمَعَ,كَمَعَتْ,كَمَعَا,كَمَعَتَا,كَمَعُوا,كَمَعْنَ,كَمَعْتَ,كَمَعْتِ,كَمَعْتُمَا,كَمَعْتُمْ,كَمَعْتُنَّ,كَمَعْتُ,كَمَعْنَا
كمل,كَمَلَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,كَمَال,كَمَلَ,كَمَلَتْ,كَمَلَا,كَمَلَتَا,كَمَلُوا,كَمَلْنَ,كَمَلْتَ,كَمَلْتِ,كَمَلْتُمَا,كَمَلْتُمْ,كَمَلْتُنَّ,كَمَلْتُ,كَمَلْنَا
كمل,كَمِلَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَمَال,كَمِلَ,كَمِلَتْ,كَمِلَا,كَمِلَتَا,كَمِلُوا,كَمِلْنَ,كَمِلْتَ,كَمِلْتِ,كَمِلْتُمَا,كَمِلْتُمْ,كَمِلْتُنَّ,كَمِلْتُ,كَمِلْنَا
كمل,كَمُلَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,كَمَال,كَمُلَ,كَمُلَتْ,كَمُلَا,كَمُلَتَا,كَمُلُوا,كَمُلْنَ,كَمُلْتَ,كَمُلْتِ,كَمُلْتُمَا,كَمُلْتُمْ,كَمُلْتُنَّ,كَمُلْتُ,كَمُلْنَا
كمن,كَمَنَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,كُمُون,كَمَنَ,كَمَنَتْ,كَمَنَا,كَمَنَتَا,كَمَنُوا,كَمَنْنَ,كَمَنْتَ,كَمَنْتِ,كَمَنْتُمَا,كَمَنْتُمْ,كَمَنْتُنَّ,كَمَنْتُ,كَمَنْنَا
كمن,كَمِنَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَمَن,كَمِنَ,كَمِنَتْ,كَمِنَا,كَمِنَتَا,كَمِنُوا,كَمِنْنَ,كَمِنْتَ,كَمِنْتِ,كَمِنْتُمَا,كَمِنْتُمْ,كَمِنْتُنَّ,كَمِنْتُ,كَمِنْنَا
كمه,كَمِهَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَمَه,كَمِهَ,كَمِهَتْ,كَمِهَا,كَمِهَتَا,كَمِهُوا,كَمِهْنَ,كَمِهْتَ,كَمِهْتِ,كَمِهْتُمَا,كَمِهْتُمْ,كَمِهْتُنَّ,كَمِهْتُ,كَمِهْنَا
كنب,كَنَبَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,كُنُوب,كَنَبَ,كَنَبَتْ,كَنَبَا,كَنَبَتَا,كَنَبُوا,كَنَبْنَ,كَنَبْتَ,كَنَبْتِ,كَنَبْتُمَا,كَنَبْتُمْ,كَنَبْتُنَّ,كَنَبْتُ,كَنَبْنَا
كنب,كَنَبَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,كُنُوب,كَنَبَ,كَنَبَتْ,كَنَبَا,كَنَبَتَا,كَنَبُوا,كَنَبْنَ,كَنَبْتَ,كَنَبْتِ,كَنَبْتُمَا,كَنَبْتُمْ,كَنَبْتُنَّ,كَنَبْتُ,كَنَبْنَا
كنب,كَنِبَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَنَب,كَنِبَ,كَنِبَتْ,كَنِبَا,كَنِبَتَا,كَنِبُوا,كَنِبْنَ,كَنِبْتَ,كَنِبْتِ,كَنِبْتُمَا,كَنِبْتُمْ,كَنِبْتُنَّ,كَنِبْتُ,كَنِبْنَا
كنت,كَنَتَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,كُنُوت,كَنَتَ,كَنَتَتْ,كَنَتَا,كَنَتَتَا,كَنَتُوا,كَنَتْنَ,كَنَتْتَ,كَنَتْتِ,كَنَتْتُمَا,كَنَتْتُمْ,كَنَتْتُنَّ,كَنَتْتُ,كَنَتْنَا
كنت,كَنِتَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَنَت,كَنِتَ,كَنِتَتْ,كَنِتَا,كَنِتَتَا,كَنِتُوا,كَنِتْنَ,كَنِتْتَ,كَنِتْتِ,كَنِتْتُمَا,كَنِتْتُمْ,كَنِتْتُنَّ,كَنِتْتُ,كَنِتْنَا
كند,كَنَدَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,كُنُود,كَنَدَ,كَنَدَتْ,كَنَدَا,كَنَدَتَا,كَنَدُوا,كَنَدْنَ,كَنَدْتَ,كَنَدْتِ,كَنَدْتُمَا,كَنَدْتُمْ,كَنَدْتُنَّ,كَنَدْتُ,كَنَدْنَا
كند,كَنَدَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,كُنُود,كَنَدَ,كَنَدَتْ,كَنَدَا,كَنَدَتَا,كَنَدُوا,كَنَدْنَ,كَنَدْتَ,كَنَدْتِ,كَنَدْتُمَا,كَنَدْتُمْ,كَنَدْتُنَّ,كَنَدْتُ,كَنَدْنَا
كنز,كَنَزَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,كَنْز,كَنَزَ,كَنَزَتْ,كَنَزَا,كَنَزَتَا,كَنَزُوا,كَنَزْنَ,كَنَزْتَ,كَنَزْتِ,كَنَزْتُمَا,كَنَزْتُمْ,كَنَزْتُنَّ,كَنَزْتُ,كَنَزْنَا
كنز,كَنَزَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,كَنْز,كَنَزَ,كَنَزَتْ,كَنَزَا,كَنَزَتَا,كَنَزُوا,كَنَزْنَ,كَنَزْتَ,كَنَزْتِ,كَنَزْتُمَا,كَنَزْتُمْ,كَنَزْتُنَّ,كَنَزْتُ,كَنَزْنَا
كنس,كَنَسَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,كَنْس,كَنَسَ,كَنَسَتْ,كَنَسَا,كَنَسَتَا,كَنَسُوا,كَنَسْنَ,كَنَسْتَ,كَنَسْتِ,كَنَسْتُمَا,كَنَسْتُمْ,كَنَسْتُنَّ,كَنَسْتُ,كَنَسْنَا
كنس,كَنَسَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,كَنْس,كَنَسَ,كَنَسَتْ,كَنَسَا,كَنَسَتَا,كَنَسُوا,كَنَسْنَ,كَنَسْتَ,كَنَسْتِ,كَنَسْتُمَا,كَنَسْتُمْ,كَنَسْتُنَّ,كَنَسْتُ,كَنَسْنَا
كنش,كَنَشَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,كَنْش,كَنَشَ,كَنَشَتْ,كَنَشَا,كَنَشَتَا,كَنَشُوا,كَنَشْنَ,كَنَشْتَ,كَنَشْتِ,كَنَشْتُمَا,كَنَشْتُمْ,كَنَشْتُنَّ,كَنَشْتُ,كَنَشْنَا
كنظ,كَنَظَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,كَنْظ,كَنَظَ,كَنَظَتْ,كَنَظَا,كَنَظَتَا,كَنَظُوا,كَنَظْنَ,كَنَظْتَ,كَنَظْتِ,كَنَظْتُمَا,كَنَظْتُمْ,كَنَظْتُنَّ,كَنَظْتُ,كَنَظْنَا
كنظ,كَنَظَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,كَنْظ,كَنَظَ,كَنَظَتْ,كَنَظَا,كَنَظَتَا,كَنَظُوا,كَنَظْنَ,كَنَظْتَ,كَنَظْتِ,كَنَظْتُمَا,كَنَظْتُمْ,كَنَظْتُنَّ,كَنَظْتُ,كَنَظْنَا
كنع,كَنَعَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,كُنُوع,كَنَعَ,كَنَعَتْ,كَنَعَا,كَنَعَتَا,كَنَعُوا,كَنَعْنَ,كَنَعْتَ,كَنَعْتِ,كَنَعْتُمَا,كَنَعْتُمْ,كَنَعْتُنَّ,كَنَعْتُ,كَنَعْنَا
كنع,كَنِعَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَنَع,كَنِعَ,كَنِعَتْ,كَنِعَا,كَنِعَتَا,كَنِعُوا,كَنِعْنَ,كَنِعْتَ,كَنِعْتِ,كَنِعْتُمَا,كَنِعْتُمْ,كَنِعْتُنَّ,كَنِعْتُ,كَنِعْنَا
خرز,خَرِزَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,خَرَز,خَرِزَ,خَرِزَتْ,خَرِزَا,خَرِزَتَا,خَرِزُوا,خَرِزْنَ,خَرِزْتَ,خَرِزْتِ,خَرِزْتُمَا,خَرِزْتُمْ,خَرِزْتُنَّ,خَرِزْتُ,خَرِزْنَا
كنف,كَنَفَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,كَنْف,كَنَفَ,كَنَفَتْ,كَنَفَا,كَنَفَتَا,كَنَفُوا,كَنَفْنَ,كَنَفْتَ,كَنَفْتِ,كَنَفْتُمَا,كَنَفْتُمْ,كَنَفْتُنَّ,كَنَفْتُ,كَنَفْنَا
كنف,كَنَفَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,كَنْف,كَنَفَ,كَنَفَتْ,كَنَفَا,كَنَفَتَا,كَنَفُوا,كَنَفْنَ,كَنَفْتَ,كَنَفْتِ,كَنَفْتُمَا,كَنَفْتُمْ,كَنَفْتُنَّ,كَنَفْتُ,كَنَفْنَا
كنه,كَنَهَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,كَنْه,كَنَهَ,كَنَهَتْ,كَنَهَا,كَنَهَتَا,كَنَهُوا,كَنَهْنَ,كَنَهْتَ,كَنَهْتِ,كَنَهْتُمَا,كَنَهْتُمْ,كَنَهْتُنَّ,كَنَهْتُ,كَنَهْنَا
كهب,كَهِبَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,كَهَب,كَهِبَ,كَهِبَتْ,كَهِبَا,كَهِبَتَا,كَهِبُوا,كَهِبْنَ,كَهِبْتَ,كَهِبْتِ,كَهِبْتُمَا,كَهِبْتُمْ,كَهِبْتُنَّ,كَهِبْتُ,كَهِبْنَا
كهب,كَهُبَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,كُهْبَة,كَهُبَ,كَهُبَتْ,كَهُبَا,كَهُبَتَا,كَهُبُوا,كَهُبْنَ,كَهُبْتَ,كَهُبْتِ,كَهُبْتُمَا,كَهُبْتُمْ,كَهُبْتُنَّ,كَهُبْتُ,كَهُبْنَا
كهد,كَهَدَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,كَهْد,كَهَدَ,كَهَدَتْ,كَهَدَا,كَهَدَتَا,كَهَدُوا,كَهَدْنَ,كَهَدْتَ,كَهَدْتِ,كَهَدْتُمَا,كَهَدْتُمْ,كَهَدْتُنَّ,كَهَدْتُ,كَهَدْنَا
كهر,كَهَرَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,كَهْر,كَهَرَ,كَهَرَتْ,كَهَرَا,كَهَرَتَا,كَهَرُوا,كَهَرْنَ,كَهَرْتَ,كَهَرْتِ,كَهَرْتُمَا,كَهَرْتُمْ,كَهَرْتُنَّ,كَهَرْتُ,كَهَرْنَا
كهم,كَهَمَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,كُهُوم,كَهَمَ,كَهَمَتْ,كَهَمَا,كَهَمَتَا,كَهَمُوا,كَهَمْنَ,كَهَمْتَ,كَهَمْتِ,كَهَمْتُمَا,كَهَمْتُمْ,كَهَمْتُنَّ,كَهَمْتُ,كَهَمْنَا
كهم,كَهُمَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,كَهَامة,كَهُمَ,كَهُمَتْ,كَهُمَا,كَهُمَتَا,كَهُمُوا,كَهُمْنَ,كَهُمْتَ,كَهُمْتِ,كَهُمْتُمَا,كَهُمْتُمْ,كَهُمْتُنَّ,كَهُمْتُ,كَهُمْنَا
كهن,كَهَنَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,كَهَانَة,كَهَنَ,كَهَنَتْ,كَهَنَا,كَهَنَتَا,كَهَنُوا,كَهَنْنَ,كَهَنْتَ,كَهَنْتِ,كَهَنْتُمَا,كَهَنْتُمْ,كَهَنْتُنَّ,كَهَنْتُ,كَهَنْنَا
كهن,كَهَنَ,فَعَلَ يَفْعَلُ ( فتحتان ),لازم,كَهَانَة,كَهَنَ,كَهَنَتْ,كَهَنَا,كَهَنَتَا,كَهَنُوا,كَهَنْنَ,كَهَنْتَ,كَهَنْتِ,كَهَنْتُمَا,كَهَنْتُمْ,كَهَنْتُنَّ,كَهَنْتُ,كَهَنْنَا
كهن,كَهُنَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,كَهَانَة,كَهُنَ,كَهُنَتْ,كَهُنَا,كَهُنَتَا,كَهُنُوا,كَهُنْنَ,كَهُنْتَ,كَهُنْتِ,كَهُنْتُمَا,كَهُنْتُمْ,كَهُنْتُنَّ,كَهُنْتُ,كَهُنْنَا
خرس,خَرَسَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,خَرْس,خَرَسَ,خَرَسَتْ,خَرَسَا,خَرَسَتَا,خَرَسُوا,خَرَسْنَ,خَرَسْتَ,خَرَسْتِ,خَرَسْتُمَا,خَرَسْتُمْ,خَرَسْتُنَّ,خَرَسْتُ,خَرَسْنَا
خرس,خَرِسَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,خَرَس,خَرِسَ,خَرِسَتْ,خَرِسَا,خَرِسَتَا,خَرِسُوا,خَرِسْنَ,خَرِسْتَ,خَرِسْتِ,خَرِسْتُمَا,خَرِسْتُمْ,خَرِسْتُنَّ,خَرِسْتُ,خَرِسْنَا
لبت,لَبَتَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,لَبْت,لَبَتَ,لَبَتَتْ,لَبَتَا,لَبَتَتَا,لَبَتُوا,لَبَتْنَ,لَبَتْتَ,لَبَتْتِ,لَبَتْتُمَا,لَبَتْتُمْ,لَبَتْتُنَّ,لَبَتْتُ,لَبَتْنَا
لبث,لَبِثَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,لَبْث,لَبِثَ,لَبِثَتْ,لَبِثَا,لَبِثَتَا,لَبِثُوا,لَبِثْنَ,لَبِثْتَ,لَبِثْتِ,لَبِثْتُمَا,لَبِثْتُمْ,لَبِثْتُنَّ,لَبِثْتُ,لَبِثْنَا
لبج,لَبَجَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,لَبْج,لَبَجَ,لَبَجَتْ,لَبَجَا,لَبَجَتَا,لَبَجُوا,لَبَجْنَ,لَبَجْتَ,لَبَجْتِ,لَبَجْتُمَا,لَبَجْتُمْ,لَبَجْتُنَّ,لَبَجْتُ,لَبَجْنَا
لبح,لَبَحَ,فَعَلَ يَفْعَلُ ( فتحتان ),لازم,لَبْح,لَبَحَ,لَبَحَتْ,لَبَحَا,لَبَحَتَا,لَبَحُوا,لَبَحْنَ,لَبَحْتَ,لَبَحْتِ,لَبَحْتُمَا,لَبَحْتُمْ,لَبَحْتُنَّ,لَبَحْتُ,لَبَحْنَا
لبخ,لَبَخَ,فَعَلَ يَفْعَلُ ( فتحتان ),مشترك ,لَبْخ,لَبَخَ,لَبَخَتْ,لَبَخَا,لَبَخَتَا,لَبَخُوا,لَبَخْنَ,لَبَخْتَ,لَبَخْتِ,لَبَخْتُمَا,لَبَخْتُمْ,لَبَخْتُنَّ,لَبَخْتُ,لَبَخْنَا
لبد,لَبَدَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,لَبْد,لَبَدَ,لَبَدَتْ,لَبَدَا,لَبَدَتَا,لَبَدُوا,لَبَدْنَ,لَبَدْتَ,لَبَدْتِ,لَبَدْتُمَا,لَبَدْتُمْ,لَبَدْتُنَّ,لَبَدْتُ,لَبَدْنَا
لبد,لَبَدَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,لَبْد,لَبَدَ,لَبَدَتْ,لَبَدَا,لَبَدَتَا,لَبَدُوا,لَبَدْنَ,لَبَدْتَ,لَبَدْتِ,لَبَدْتُمَا,لَبَدْتُمْ,لَبَدْتُنَّ,لَبَدْتُ,لَبَدْنَا
لبد,لَبِدَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,لُبُود,لَبِدَ,لَبِدَتْ,لَبِدَا,لَبِدَتَا,لَبِدُوا,لَبِدْنَ,لَبِدْتَ,لَبِدْتِ,لَبِدْتُمَا,لَبِدْتُمْ,لَبِدْتُنَّ,لَبِدْتُ,لَبِدْنَا
لبز,لَبَزَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,لَبْز,لَبَزَ,لَبَزَتْ,لَبَزَا,لَبَزَتَا,لَبَزُوا,لَبَزْنَ,لَبَزْتَ,لَبَزْتِ,لَبَزْتُمَا,لَبَزْتُمْ,لَبَزْتُنَّ,لَبَزْتُ,لَبَزْنَا
لبس,لَبَسَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,لَبْس,لَبَسَ,لَبَسَتْ,لَبَسَا,لَبَسَتَا,لَبَسُوا,لَبَسْنَ,لَبَسْتَ,لَبَسْتِ,لَبَسْتُمَا,لَبَسْتُمْ,لَبَسْتُنَّ,لَبَسْتُ,لَبَسْنَا
لبس,لَبِسَ,فَعِلَ يَفْعَلُ ( كسر فتح ),متعدي,لُبْس,لَبِسَ,لَبِسَتْ,لَبِسَا,لَبِسَتَا,لَبِسُوا,لَبِسْنَ,لَبِسْتَ,لَبِسْتِ,لَبِسْتُمَا,لَبِسْتُمْ,لَبِسْتُنَّ,لَبِسْتُ,لَبِسْنَا
لبط,لَبَطَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,لَبْط,لَبَطَ,لَبَطَتْ,لَبَطَا,لَبَطَتَا,لَبَطُوا,لَبَطْنَ,لَبَطْتَ,لَبَطْتِ,لَبَطْتُمَا,لَبَطْتُمْ,لَبَطْتُنَّ,لَبَطْتُ,لَبَطْنَا
لبق,لَبَقَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,لَبَاقَة,لَبَقَ,لَبَقَتْ,لَبَقَا,لَبَقَتَا,لَبَقُوا,لَبَقْنَ,لَبَقْتَ,لَبَقْتِ,لَبَقْتُمَا,لَبَقْتُمْ,لَبَقْتُنَّ,لَبَقْتُ,لَبَقْنَا
لبق,لَبِقَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,لَبَاقَة,لَبِقَ,لَبِقَتْ,لَبِقَا,لَبِقَتَا,لَبِقُوا,لَبِقْنَ,لَبِقْتَ,لَبِقْتِ,لَبِقْتُمَا,لَبِقْتُمْ,لَبِقْتُنَّ,لَبِقْتُ,لَبِقْنَا
لبق,لَبُقَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,لَبَاقَة,لَبُقَ,لَبُقَتْ,لَبُقَا,لَبُقَتَا,لَبُقُوا,لَبُقْنَ,لَبُقْتَ,لَبُقْتِ,لَبُقْتُمَا,لَبُقْتُمْ,لَبُقْتُنَّ,لَبُقْتُ,لَبُقْنَا
لبك,لَبَكَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,لَبْك,لَبَكَ,لَبَكَتْ,لَبَكَا,لَبَكَتَا,لَبَكُوا,لَبَكْنَ,لَبَكْتَ,لَبَكْتِ,لَبَكْتُمَا,لَبَكْتُمْ,لَبَكْتُنَّ,لَبَكْتُ,لَبَكْنَا
لبك,لَبِكَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,لَبَك,لَبِكَ,لَبِكَتْ,لَبِكَا,لَبِكَتَا,لَبِكُوا,لَبِكْنَ,لَبِكْتَ,لَبِكْتِ,لَبِكْتُمَا,لَبِكْتُمْ,لَبِكْتُنَّ,لَبِكْتُ,لَبِكْنَا
لبن,لَبَنَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,لَبْن,لَبَنَ,لَبَنَتْ,لَبَنَا,لَبَنَتَا,لَبَنُوا,لَبَنْنَ,لَبَنْتَ,لَبَنْتِ,لَبَنْتُمَا,لَبَنْتُمْ,لَبَنْتُنَّ,لَبَنْتُ,لَبَنْنَا
لبن,لَبَنَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,لَبْن,لَبَنَ,لَبَنَتْ,لَبَنَا,لَبَنَتَا,لَبَنُوا,لَبَنْنَ,لَبَنْتَ,لَبَنْتِ,لَبَنْتُمَا,لَبَنْتُمْ,لَبَنْتُنَّ,لَبَنْتُ,لَبَنْنَا
لبن,لَبِنَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,لَبَن,لَبِنَ,لَبِنَتْ,لَبِنَا,لَبِنَتَا,لَبِنُوا,لَبِنْنَ,لَبِنْتَ,لَبِنْتِ,لَبِنْتُمَا,لَبِنْتُمْ,لَبِنْتُنَّ,لَبِنْتُ,لَبِنْنَا
لتب,لَتَبَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,لَتْب,لَتَبَ,لَتَبَتْ,لَتَبَا,لَتَبَتَا,لَتَبُوا,لَتَبْنَ,لَتَبْتَ,لَتَبْتِ,لَتَبْتُمَا,لَتَبْتُمْ,لَتَبْتُنَّ,لَتَبْتُ,لَتَبْنَا
لتح,لَتَحَ,فَعَلَ يَفْعَلُ ( فتحتان ),متعدي,لَتْح,لَتَحَ,لَتَحَتْ,لَتَحَا,لَتَحَتَا,لَتَحُوا,لَتَحْنَ,لَتَحْتَ,لَتَحْتِ,لَتَحْتُمَا,لَتَحْتُمْ,لَتَحْتُنَّ,لَتَحْتُ,لَتَحْنَا
لتح,لَتِحَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,لَتَح,لَتِحَ,لَتِحَتْ,لَتِحَا,لَتِحَتَا,لَتِحُوا,لَتِحْنَ,لَتِحْتَ,لَتِحْتِ,لَتِحْتُمَا,لَتِحْتُمْ,لَتِحْتُنَّ,لَتِحْتُ,لَتِحْنَا
لتد,لَتَدَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,لَتْد,لَتَدَ,لَتَدَتْ,لَتَدَا,لَتَدَتَا,لَتَدُوا,لَتَدْنَ,لَتَدْتَ,لَتَدْتِ,لَتَدْتُمَا,لَتَدْتُمْ,لَتَدْتُنَّ,لَتَدْتُ,لَتَدْنَا
خرش,خَرَشَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,خَرْش,خَرَشَ,خَرَشَتْ,خَرَشَا,خَرَشَتَا,خَرَشُوا,خَرَشْنَ,خَرَشْتَ,خَرَشْتِ,خَرَشْتُمَا,خَرَشْتُمْ,خَرَشْتُنَّ,خَرَشْتُ,خَرَشْنَا
