root,past_3sg_m,bab,transitivity,masdar,هو_3sg_m,هي_3sg_f,هما_3du_m,هما_3du_f,هم_3pl_m,هن_3pl_f,أنتَ_2sg_m,أنتِ_2sg_f,أنتما_2du,أنتم_2pl_m,أنتن_2pl_f,أنا_1sg,نحن_1pl
غرل,غَرِلَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَرَق,غَرِلَ,غَرِلَتْ,غَرِلَا,غَرِلَتَا,غَرِلُوا,غَرِلْنَ,غَرِلْتَ,غَرِلْتِ,غَرِلْتُمَا,غَرِلْتُمْ,غَرِلْتُنَّ,غَرِلْتُ,غَرِلْنَا
غرم,غَرِمَ,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,غَرَل,غَرِمَ,غَرِمَتْ,غَرِمَا,غَرِمَتَا,غَرِمُوا,غَرِمْنَ,غَرِمْتَ,غَرِمْتِ,غَرِمْتُمَا,غَرِمْتُمْ,غَرِمْتُنَّ,غَرِمْتُ,غَرِمْنَا
غرن,غَرِنَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غُرْم,غَرِنَ,غَرِنَتْ,غَرِنَا,غَرِنَتَا,غَرِنُوا,غَرِنْنَ,غَرِنْتَ,غَرِنْتِ,غَرِنْتُمَا,غَرِنْتُمْ,غَرِنْتُنَّ,غَرِنْتُ,غَرِنْنَا
غزر,غَزُرَ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,غَرْي,غَزُرَ,غَزُرَتْ,غَزُرَا,غَزُرَتَا,غَزُرُوا,غَزُرْنَ,غَزُرْتَ,غَزُرْتِ,غَزُرْتُمَا,غَزُرْتُمْ,غَزُرْتُنَّ,غَزُرْتُ,غَزُرْنَا
غزل,غَزَلَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَزّ,غَزَلَ,غَزَلَتْ,غَزَلَا,غَزَلَتَا,غَزَلُوا,غَزَلْنَ,غَزَلْتَ,غَزَلْتِ,غَزَلْتُمَا,غَزَلْتُمْ,غَزَلْتُنَّ,غَزَلْتُ,غَزَلْنَا
غزل,غَزِلَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غَزْل,غَزِلَ,غَزِلَتْ,غَزِلَا,غَزِلَتَا,غَزِلُوا,غَزِلْنَ,غَزِلْتَ,غَزِلْتِ,غَزِلْتُمَا,غَزِلْتُمْ,غَزِلْتُنَّ,غَزِلْتُ,غَزِلْنَا
غسر,غَسَرَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,غَزْو,غَسَرَ,غَسَرَتْ,غَسَرَا,غَسَرَتَا,غَسَرُوا,غَسَرْنَ,غَسَرْتَ,غَسَرْتِ,غَسَرْتُمَا,غَسَرْتُمْ,غَسَرْتُنَّ,غَسَرْتُ,غَسَرْنَا
غسق,غَسَقَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,غَسّ,غَسَقَ,غَسَقَتْ,غَسَقَا,غَسَقَتَا,غَسَقُوا,غَسَقْنَ,غَسَقْتَ,غَسَقْتِ,غَسَقْتُمَا,غَسَقْتُمْ,غَسَقْتُنَّ,غَسَقْتُ,غَسَقْنَا
غسق,غَسِقَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,مرض,غَسِقَ,غَسِقَتْ,غَسِقَا,غَسِقَتَا,غَسِقُوا,غَسِقْنَ,غَسِقْتَ,غَسِقْتِ,غَسِقْتُمَا,غَسِقْتُمْ,غَسِقْتُنَّ,غَسِقْتُ,غَسِقْنَا
غسل,غَسَلَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَسَق,غَسَلَ,غَسَلَتْ,غَسَلَا,غَسَلَتَا,غَسَلُوا,غَسَلْنَ,غَسَلْتَ,غَسَلْتِ,غَسَلْتُمَا,غَسَلْتُمْ,غَسَلْتُنَّ,غَسَلْتُ,غَسَلْنَا
غسم,غَسَمَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,غَسْل,غَسَمَ,غَسَمَتْ,غَسَمَا,غَسَمَتَا,غَسَمُوا,غَسَمْنَ,غَسَمْتَ,غَسَمْتِ,غَسَمْتُمَا,غَسَمْتُمْ,غَسَمْتُنَّ,غَسَمْتُ,غَسَمْنَا
غسن,غَسَنَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,غَسَم,غَسَنَ,غَسَنَتْ,غَسَنَا,غَسَنَتَا,غَسَنُوا,غَسَنْنَ,غَسَنْتَ,غَسَنْتِ,غَسَنْتُمَا,غَسَنْتُمْ,غَسَنْتُنَّ,غَسَنْتُ,غَسَنْنَا
غشم,غَشَمَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,غِشّ,غَشَمَ,غَشَمَتْ,غَشَمَا,غَشَمَتَا,غَشَمُوا,غَشَمْنَ,غَشَمْتَ,غَشَمْتِ,غَشَمْتُمَا,غَشَمْتُمْ,غَشَمْتُنَّ,غَشَمْتُ,غَشَمْنَا
غشم,غَشَمَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَشْم,غَشَمَ,غَشَمَتْ,غَشَمَا,غَشَمَتَا,غَشَمُوا,غَشَمْنَ,غَشَمْتَ,غَشَمْتِ,غَشَمْتُمَا,غَشَمْتُمْ,غَشَمْتُنَّ,غَشَمْتُ,غَشَمْنَا
غصب,غَصَبَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَشَيَان,غَصَبَ,غَصَبَتْ,غَصَبَا,غَصَبَتَا,غَصَبُوا,غَصَبْنَ,غَصَبْتَ,غَصَبْتِ,غَصَبْتُمَا,غَصَبْتُمْ,غَصَبْتُنَّ,غَصَبْتُ,غَصَبْنَا
غصن,غَصَنَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَصّ,غَصَنَ,غَصَنَتْ,غَصَنَا,غَصَنَتَا,غَصَنُوا,غَصَنْنَ,غَصَنْتَ,غَصَنْتِ,غَصَنْتُمَا,غَصَنْتُمْ,غَصَنْتُنَّ,غَصَنْتُ,غَصَنْنَا
غضب,غَضِبَ,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,غُصُون,غَضِبَ,غَضِبَتْ,غَضِبَا,غَضِبَتَا,غَضِبُوا,غَضِبْنَ,غَضِبْتَ,غَضِبْتِ,غَضِبْتُمَا,غَضِبْتُمْ,غَضِبْتُنَّ,غَضِبْتُ,غَضِبْنَا
غضر,غَضَرَ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,غَضَب,غَضَرَ,غَضَرَتْ,غَضَرَا,غَضَرَتَا,غَضَرُوا,غَضَرْنَ,غَضَرْتَ,غَضَرْتِ,غَضَرْتُمَا,غَضَرْتُمْ,غَضَرْتُنَّ,غَضَرْتُ,غَضَرْنَا
ختل,خَتَلَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,غَضْر,خَتَلَ,خَتَلَتْ,خَتَلَا,خَتَلَتَا,خَتَلُوا,خَتَلْنَ,خَتَلْتَ,خَتَلْتِ,خَتَلْتُمَا,خَتَلْتُمْ,خَتَلْتُنَّ,خَتَلْتُ,خَتَلْنَا
غضر,غَضَرَ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,خَتْل,غَضَرَ,غَضَرَتْ,غَضَرَا,غَضَرَتَا,غَضَرُوا,غَضَرْنَ,غَضَرْتَ,غَضَرْتِ,غَضَرْتُمَا,غَضَرْتُمْ,غَضَرْتُنَّ,غَضَرْتُ,غَضَرْنَا
غضر,غَضِرَ,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,غُضُور,غَضِرَ,غَضِرَتْ,غَضِرَا,غَضِرَتَا,غَضِرُوا,غَضِرْنَ,غَضِرْتَ,غَضِرْتِ,غَضِرْتُمَا,غَضِرْتُمْ,غَضِرْتُنَّ,غَضِرْتُ,غَضِرْنَا
