sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind
42,لَا تَضْرِبْ,1,تَضْرِبْ,FIIL,مَجْزُوم,سكون,فعل مضارع,ضرب,تَفْعِلْ,
43,إِنْ تَضْرِبْ أَضْرِبْ,0,إِنْ,HARF,مَبْنِي,,حرف,,,HARF
43,إِنْ تَضْرِبْ أَضْرِبْ,1,تَضْرِبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,ضرب,تَفْعِلْ,
43,إِنْ تَضْرِبْ أَضْرِبْ,2,أَضْرِبْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,ضرب,أَفْعِلْ,
44,مَنْ يَرْحَمْ يُرْحَمْ,0,مَنْ,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
44,مَنْ يَرْحَمْ يُرْحَمْ,1,يَرْحَمْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,رحم,يَفْعَلْ,
44,مَنْ يَرْحَمْ يُرْحَمْ,2,يُرْحَمْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,,,
45,مَا تَفْعَلْ أَفْعَلْ,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
45,مَا تَفْعَلْ أَفْعَلْ,1,تَفْعَلْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,فعل,تَفْعَلْ,
45,مَا تَفْعَلْ أَفْعَلْ,2,أَفْعَلْ,FIIL,مَرْفُوع,ضمة,فعل مضارع,فعل,أَفْعَلْ,
