wazn_plain,voweled_variants,sources,babs,morph_types,token_count,row_count,examples
فعلو,فَعَلُو | فَعُلُو | فَعِلُو | فَعَّلُو | فَعِّلُو | فَعْلُو | فُعِلُو | فُعِّلُو | فُعْلُو | لفَعَلُو | لَفَعْلُو | وَفَعَلُو | وَفَعِلُو | وَفَعَّلُو | وَفَعِّلُو | وَفَعْلُو | وَفُعِلُو | وَفُعِّلُو | وَفُعْلُو,mishkat_extracted,,noun | verb,660,160,ءخذ+أُخِذُوا | ءكل+لأَكَلُوا | ءمر+أُمِرُوا | ءمر+وَأَمَرُوا | ءهل+وَأَهْلُونَا
افعال,أَفعَال | أَفُعَّال | أَفْعاَل | أَفْعَال | إِفعَال | إِفْعاَل | إِفْعَال | افِّعَال | الأَفعَال | الأَفْعاَل | الأَفْعَال | الإِفعَال | الإِفْعاَل | الإِفْعَال | بِأَفْعَال | بِإِفْعَال | بِالأَفْعاَل | بِالأَفْعَال | كَأَفْعَال | كَالأَفْعاَل | كَالأَفْعَال | لأَفْعَال | لِلأَفْعَال | لِلإِفْعاَل | وَأَفْعاَل | وَأَفْعَال | وَإِفْعَال | وَالأَفعَال | وَالأَفْعاَل | وَالأَفْعَال | وَالإِفْعَال | وَلأَفْعَال,canonical_table | mishkat_extracted | user_extensions,المصدر الأصلي | جمع تكسير,verb,543,248,(curated)+إِكْرَام | (curated)+أَوْلَاد | برر+الأَبْرَارَ | برر+الأَبْرَارِ | برر+لِلأَبْرَارِ
فعلت,الْفَعْلَت | بِفَعْلَت | بِفَعْلَتَي | بِفِعْلَت | فَعَلت | فَعَلَت | فَعَلْت | فَعُلَت | فَعُلْت | فَعِلت | فَعِلَت | فَعِلْت | فَعَّلت | فَعَّلَت | فَعَّلْت | فَعْلَت | فُعِلت | فُعِلَت | فُعِلْت | فُعِّلَت | فُعِّلْت | فُعْلَت | فِعْلَت | لَفَعَلَت | لَفَعْلَت | لَفُعِّلَت | لِفُعْلَت | لِفِعْلَت | وَفَعَلَت | وَفَعَلْت | وَفَعِلَت | وَفَعِلْت | وَفَعَّلت | وَفَعَّلَت | وَفَعْلَت | وَفُعِلَت | وَفُعِلْت | وَفُعِّلَت | وَفُعْلَت | وَلَفُعِلْت,mishkat_extracted,,verb,477,271,ءجل+أَجَّلْتَ | ءجل+أُجِّلَت | ءخذ+أَخَذَتِ | ءخذ+أَخَذَتْهُ | ءخذ+أَخَذَتْهُمُ
فاعلو,فَاعَلُو | فَاعِلُو | فَاعْلُو | لَفَاعِلُو | وَفَاعَلُو | وَفَاعِلُو | وَفَاعْلُو,mishkat_extracted,,noun | verb,332,40,ءسف+ءَاسَفُونَا | ءمن+ءَامَنُوا | ءمن+ءَامِنُوا | بسط+بَاسِطُوا | بشر+بَاشِرُوهُنَّ
افعلو,أَفعَلُو | أَفعِلُو | أَفَعِلُو | أَفَعْلُو | أَفِعْلُو | أَفْعَلُو | أَفْعِلُو | أُفعِلُو | أُفْعِلُو | افعُلُو | افعِلُو | افَّعَلُو | افَّعِلُو | افُّعِلُو | افْعَلُو | افْعُلُو | افْعِلُو | لأَفَعْلُو | لاَّفَّعَلُو | وَأَفعَلُو | وَأَفعِلُو | وَأَفَعْلُو | وَأَفِعْلُو | وَأَفْعَلُو | وَأَفْعِلُو | وَأُفْعِلُو | وَافعُلُو | وَافَّعَلُو | وَافَّعِلُو | وَافْعَلُو | وَافْعُلُو | وَافْعِلُو,mishkat_extracted,,verb,304,132,برم+أَبْرَمُوا | بسل+أُبْسِلُوا | بشر+وَأَبْشِرُوا | بلغ+أَبْلَغُوا | تبع+اتَّبَعُوا
تفعلو,تَفعُلُو | تَفعِلُو | تَفَعَّلُو | تَفَعْلُو | تَفُعْلُو | تَفِعْلُو | تَفْعَلُو | تَفْعُلُو | تَفْعِلُو | تُفعِلُو | تُفَعِّلُو | تُفِعْلُو | تُفْعِلُو | لِتَفْعَلُو | لِتَفْعُلُو | لِتُفعِلُو | لِتُفَعِّلُو | لِتُفْعِلُو | وَتَفَعَّلُو | وَتَفْعَلُو | وَتَفْعُلُو | وَتَفْعِلُو | وَتُفَعِّلُو | وَتُفْعِلُو | وَلِتَفْعَلُو | وَلِتَفْعُلُو | وَلِتُفَعِّلُو | وَلِتُفْعِلُو,mishkat_extracted,,verb,242,138,ءخذ+تَأْخُذُوا | ءكل+تَأْكُلُوا | ءكل+تَأْكُلُوهَا | ءكل+لِتَأْكُلُوا | بخس+تَبْخَسُوا
فعلن,الفَّعْلَن | بِالفَّعْلَن | فَعَلَن | فَعَلْن | فَعِلَن | فَعِلْن | فَعَّلَن | فَعَّلْن | فَعْلَن | لَفَعَلْن | لِلفَّعْلَن | وَفَعَلَن | وَفَعَلْن | وَفَعِلْن | وَفَعَّلْن | وَفَعْلَن | وَلفَعُلَن,mishkat_extracted,,verb,220,97,ءخذ+أَخَذْنَاهُم | ءلت+أَلَتْنَاهُم | ءمر+وَلأَمُرَنَّهُم | بدل+بَدَّلْنَاهُم | بدل+وَبَدَّلْنَاهُم
مفعول,الْمَفعُول | الْمَفْعُول | بِالْمَفْعُول | بِمَفْعُول | لَمَفْعُول | مَفعُول | مَفْعُول | وَالْمَفْعُول,canonical_table | mishkat_extracted,اسم المفعول,noun,185,101,(curated)+مَكْتُوب | ءكل+مَأْكُولٍ | بثث+الْمَبْثُوثِ | بعث+لَمَبْعُوثُونَ | بعث+مَبْعُوثُونَ
نفعل,لَنَفُعْل | لَنَفْعَل | لِنَفْعَل | لِنَفْعِل | لِنُفَعِّل | لِنُفْعِل | نَفُعْل | نَفِعْل | نَفَّعِل | نَفْعَل | نَفْعُل | نَفْعِل | نُفَعِّل | نُفَعْل | نُفِعْل | نُفْعِل | نُفْعِلُ | وَلِنَفْعَل | وَلِنُفَعِّل | وَلْنَفْعِل | وَنَفُعْل | وَنَفَّعِل | وَنَفْعَل | وَنَفْعُل | وَنُفَعِّل | وَنُفَعْل | وَنُفِعْل | وَنُفْعِل,mishkat_extracted | user_extensions,verb_form_IV,verb,185,139,(curated)+نُكْرِمُ | ءثر+نُؤْثِرَكَ | ءخر+نُؤَخِّرُهُ | ءكل+نَأْكُلَ | بدل+نُبَدِّلَ
فعلم,فَعلُم | فَعَلَّم | فَعِلُم | فَعِلُّم | فِعْلَم | فِعْلُم | كَفَعِلُم | لفَعلُم | لَفَعِلُّم | وَفَعلُم | وَفَعِلُم,mishkat_extracted,,noun,181,17,ءنت+أَنتُم | ءنت+أَنتُمَا | ءنت+أَنتُمُ | ءنت+لأَنتُم | ءنت+وَأَنتُم
