wazn_plain,voweled_variants,sources,babs,morph_types,token_count,row_count,examples
فيعال,الفَّيْعَال | بِفِيعَال | فَيْعَال | فِيعَال | لفِيعاَل | لِلفَّيْعَال,mishkat_extracted | user_extensions,شاذ,noun,96,19,(curated)+مِيعَاد | ءلف+لإِيلاَفِ | ءمن+إِيمَانًا | ءمن+إِيمَانَكُم | ءمن+إِيمَانَهُ
فافعلو,فَأَفعِلُو | فَأَفَعْلُو | فَأَفِعْلُو | فَأَفْعَلُو | فَأَفْعِلُو | فَأُفْعِلُو | فَافعُلُو | فَافعِلُو | فَافَّعَلُو | فَافَّعِلُو | فَافَّعَّلُو | فَافْعَلُو | فَافْعُلُو | فَافْعِلُو,mishkat_extracted,,verb,88,56,بعث+فَابْعَثُوا | تبع+فَأَتْبَعُوهُم | تبع+فَاتَّبَعُوا | تبع+فَاتَّبَعُوهُ | تبع+فَاتَّبِعُوا
فعالة,الفَعَالَة | الفَّعاَلَة | الفَّعَالَة | الفُّعَالَة | الفِّعَالَة | الْفَعاَلَة | الْفِعَالَة | بِالفَّعَالَة | بِفَعاَلَة | بِفَعَالَة | بِفِعَالَة | فَعاَلة | فَعاَلَة | فَعَالَة | فَعَّالَة | فُعاَلَة | فُعَالَة | فِعَالَة | كَالْفِعَالَة | لفَعَّالَة | وَالْفِعَالَة | وَفِعَالَة,canonical_table | mishkat_extracted,اسم الآلة | اسم الآلة (feminine) | المصدر الأصلي | صيغة مبالغة | صيغة مبالغة (feminine),noun,85,54,(curated)+— | (curated)+عَلَّامَة | (curated)+غَسَّالَة | (curated)+— | (curated)+ثَلَّاجَة
فعنل,بِفَعَنَّل | فَعَنَّل | لِفَعَنَّل,mishkat_extracted,,noun,77,4,جهم+بِجَهَنَّمَ | جهم+جَهَنَّمَ | جهم+جَهَنَّمُ | جهم+لِجَهَنَّمَ
يستفعل,لَيَسْتَفِعْل | لِيَسْتَفْعِل | وَلْيَسْتَفْعِل | وَيَسْتَفْعِل | وَيُسْتَفْعَل | يَسْتَفعِل | يَسْتَفِعْل | يَسْتَفْعِل | يَسْتَفْعِلُ | يُسْتَفْعَل,mishkat_extracted | user_extensions,verb_form_X,noun | verb,75,41,(curated)+يَسْتَخْرِجُ | (curated)+— | ءخر+يَسْتَأْخِرُونَ | ءخر+يَسْتَئْخِرُونَ | ءذن+لِيَسْتَئْذِنكُمُ
تفعيل,تَفعِيل | تَفْعِيل | لَتَفعِيل | وَتَفْعِيل,canonical_table | mishkat_extracted,المصدر الأصلي,verb,72,45,(curated)+تَعْلِيم | ءثم+تَأْثِيمًا | ءثم+تَأْثِيمٌ | بتل+تَبْتِيلاً | بدل+تَبْدِيلاً
مفعلة,الْمَفْعَلَة | الْمَفْعِلَة | الْمُفَعَّلَة | بِالْمَفْعَلَة | بِالْمَفْعِلَة | بِمَفْعِلَة | كَالْمُفَعَّلَة | لَمَفْعِلَة | مَفَعْلَة | مَفْعَلَة | مَفْعِلَة | مُفعِلَة | مُفَعَّلَة | مُفَعِّلَة | مُفْعَلَة | مُفْعَلَّة | مُفْعِلَة | مِفْعَلَة | وَالْمَفْعَلَة | وَالْمَفْعِلَة | وَالْمُفَعَّلَة | وَمَفْعِلَة,canonical_table | mishkat_extracted,اسم الآلة | اسم الآلة (feminine) | اسم الزمان (feminine) | اسم الفاعل (feminine) | اسم المفعول (feminine) | اسم المكان | اسم المكان (feminine) | المصدر الميمي (feminine),noun,70,44,(curated)+مُكْرِمَة | (curated)+مُعَلِّمَة | (curated)+مُكْرَمَة | (curated)+مُعَلَّمَة | (curated)+—
فعاءلة,الْفَعاَئِلَة | بِالْفَعاَئِلَة | فَعاَئِلَة | فَعَائِلَة | لِلْفَعاَئِلَة | وَالْفَعاَئِلَة,mishkat_extracted | user_extensions,شاذ,noun,68,9,(curated)+مَلَائِكَة | ملك+الْمَلاَئِكَةَ | ملك+الْمَلاَئِكَةُ | ملك+الْمَلاَئِكَةِ | ملك+بِالْمَلاَئِكَةِ
يفعلن,لَيَفعُلَن | لَيَفَعْلَن | لَيَفْعَلَن | لَيَفْعُلَن | لَيَفْعُلُن | لَيَفْعِلُن | لَيُفعَلَن | لَيُفَعِّلَن | لَيُفْعَلَن | لَيُفْعِلَن | لَيُفْعِلُن | وَلَيَفعُلَن | وَلَيَفَعْلَن | وَلَيَفْعَلَن | وَلَيَفْعِلُن | وَلَيُفَعِّلَن | وَلْيَفْعِلْن | وَيَفْعَلْن | وَيَفْعِلْن | يَفعَلَن | يَفعُلُن | يَفعِلْن | يَفُعْلَن | يَفُعْلُن | يَفْعَلْن | يَفْعُلَن | يَفْعُلْن | يَفْعِلَن | يَفْعِلُن | يَفْعِلْن | يُفَعِّلُن | يُفَعِّلْن | يُفْعَلْن | يُفْعِلَن | يُفْعِلُن | يُفْعِلْن,mishkat_extracted,,verb,64,54,بدل+وَلَيُبَدِّلَنَّهُم | بطء+لَيُبَطِّئَنَّ | بعث+لَيَبْعَثَنَّ | بلغ+يَبْلُغَنَّ | جرم+يَجْرِمَنَّكُم
ففعلو,فَفَعَلُو | فَفَعِلُو | فَفَعَّلُو | فَفَعِّلُو | فَفَعْلُو | فَفُعِلُو | فَفُعْلُو | فَفِعْلُو | فَفْعَلُو,mishkat_extracted,,noun | verb,60,38,ءذن+فَأْذَنُوا | ثبت+فَثَبِّتُوا | دخل+فَدَخَلُوا | ذبح+فَذَبَحُوهَا | رجع+فَرَجَعُوا
افتعلو,افتَعِلُو | افْتَعَلُو | افْتَعِلُو | افْتَعْلُو | لاَّفْتَعَلُو | وَافتَعَلُو | وَافتَعِلُو | وَافْتَعَلُو | وَافْتَعِلُو,mishkat_extracted,,verb,58,26,ءخذ+اتَّخَذُوا | ءخذ+اتَّخَذُوهَا | ءخذ+اتَّخَذُوهُ | ءخذ+اتَّخَذُوهُم | ءخذ+لاَّتَّخَذُوكَ
مفتعل,الْمُفتَعِل | الْمُفْتَعِل | مُفتَعِل | مُفْتَعَل | مُفْتَعِل | وَالْمُفْتَعِل | وَالْمُفْتَعْل,canonical_table | mishkat_extracted,اسم الفاعل | اسم المفعول | اسم المكان,noun,52,36,(curated)+مُجْتَهِد | (curated)+مُجْتَمَع | (curated)+مُجْتَمَع | ءفك+وَالْمُؤْتَفِكَاتُ | ءفك+وَالْمُؤْتَفِكَاتِ
يفاعل,وَيُفَاعِل | يُفَاعَل | يُفَاعِل | يُفَاعْل,mishkat_extracted,,verb,50,28,جدل+وَيُجَادِلُ | جدل+يُجَادِلُ | جدل+يُجَادِلُنَا | جدل+يُجَادِلُونَ | جدل+يُجَادِلُونَكَ
فعيلة,الفَّعِيلَة | الْفَعِيلَة | فَعِيلَة | فُعَيْلَة | فِعِّيلَة | لَفَعِيلَة | وَالفَّعِيلَة,canonical_table | mishkat_extracted,التصغير (feminine) | الصفة المشبهة (feminine) | صيغة مبالغة (feminine),noun,49,30,(curated)+كَرِيمَة | (curated)+عَلِيمَة | (curated)+صِدِّيقَة | (curated)+كُتَيِّبَة | بحر+بَحِيرَةٍ
فيفعل,فَيَفعَل | فَيَفعُل | فَيَفِعْل | فَيَفَّعِل | فَيَفْعَل | فَيَفْعُل | فَيَفْعِل | فَيُفَعِّل | فَيُفِعْل | فَيُفْعَل | فَيُفْعِل,mishkat_extracted,,verb,46,33,ءخذ+فَيَأْخُذَكُم | ءخذ+فَيُؤْخَذُ | بسط+فَيَبْسُطُهُ | تبع+فَيَتَّبِعُونَ | جعل+فَيَجْعَلَهُ
افتعل,أَفُتْعَل | افتَعَل | افْتَعَل | افْتَعِل | افْتُعِل | لاَفتَعَل | وَأَفْتَعِل | وَافتَعِل | وَافْتَعَل | وَافْتَعِل,mishkat_extracted,,verb,44,28,ءخذ+اتَّخَذَ | ءخذ+اتَّخَذَهَا | ءخذ+اتَّخِذُونِي | ءخذ+اتَّخِذِي | ءمن+اؤْتُمِنَ
فعاءل,الفَعَائِل | الفَّعَائِل | الْفَعاَئِل | الْفَعَائِل | فَعاَئِل | فَعَائِل | وَالفَّعَائِل | وَالْفَعاَئِل | وَفَعاَئِل | وَفَعَائِل,mishkat_extracted | user_extensions,جمع تكسير,noun,44,23,(curated)+رَسَائِل | ءرك+الأَرَائِكِ | بصر+بَصَائِرَ | بصر+بَصَائِرُ | بطن+بَطَائِنُهَا
استفعل,أَسْتَفْعِل | أَسْتَفْعِلُ | إِسْتَفْعَل | اسْتَفعَل | اسْتَفَعْل | اسْتَفْعَل | اسْتَفْعِل | اسْتُفْعِل | اِسْتَفْعَل | وَإِسْتَفْعَل | وَاسْتَفْعَل | وَاسْتَفْعِل,mishkat_extracted | user_extensions,verb_form_X,verb,42,30,(curated)+أَسْتَخْرِجُ | (curated)+اِسْتَخْرَجَ | ءجر+اسْتَئْجِرْهُ | ءذن+اسْتَئْذَنَ | ءذن+اسْتَئْذَنَكَ
يتفعل,وَيَتَفَعَّل | وَيُتَفَعَّل | يَتَفَعَّل,mishkat_extracted,,verb,40,27,ءخر+يَتَأَخَّرَ | بدل+يَتَبَدَّلِ | جرع+يَتَجَرَّعُهُ | جنب+وَيَتَجَنَّبُهَا | خبط+يَتَخَبَّطُهُ
كفعل,وَكَفَعِل,mishkat_extracted,,noun,38,1,ذلك+وَكَذَلِكَ
افعلة,أَفِعْلَة | أَفْعَلَة | أَفْعِلَة | افْعَلَة | الأَفِعْلَة | الأَفْعِلَة | بِأَفْعَلَة | بِأَفْعِلَة | وَأَفْعِلَة | وَافْعَلَة | وَالأَفْعِلَة,mishkat_extracted | user_extensions,جمع تكسير,verb,37,25,(curated)+أَئِمَّة | جنح+أَجْنِحَةٍ | جنن+أَجِنَّةٌ | ذلل+أَذِلَّةً | ذلل+أَذِلَّةٌ
افعلتم,أَفعَلْتُم | أَفَعَلْتُم | أَفَعِلْتُم | أَفَعَّلْتُم | أَفْعَلتُم | أَفْعَلْتُم | أُفْعِلْتُم | افَّعَلْتُم | لأَفْعَلْتُم | لاَفَّعَلْتُم | وَأَفْعَلْتُم,mishkat_extracted,,verb,37,28,بشر+أَبَشَّرْتُمُونِي | تبع+اتَّبَعْتُم | تبع+لاَتَّبَعْتُمُ | ترف+أُتْرِفْتُم | جعل+أَجَعَلْتُم
تفاعل,التَّفَاعُل | تَفَاعَل | تَفَاعُل | تَفَاعْل | تُفَاعِل | تُفَاعْل | وَتَفَاعَل | وَتَفَاعُل | وَتُفَاعِل,canonical_table | mishkat_extracted,المصدر الأصلي,verb,37,28,(curated)+تَشَارُك | ءخذ+تُؤَاخِذْنَا | برك+تَبَارَكَ | برك+وَتَبَارَكَ | جدل+تُجَادِل
تفعلن,تَفَعَّلْن | تَفُعْلَن | تَفْعَلَن | تَفْعَلْن | تَفْعُلَن | تُفَعِّلَن | تُفْعِلَن | تُفْعِلْن | لَتَفْعَلُن | لَتَفْعُلُن | لَتُفَعَّلُن | لَتُفَعِّلَن | لَتُفْعَلُن | لَتُفْعِلُن | لِتَفْعُلَن | وَتَفْعَلْن | وَلَتَفعُلُن | وَلَتَفْعَلُن | وَلَتَفْعِلَن,mishkat_extracted,,verb,37,28,ءجر+تَأْجُرَنِي | برج+تَبَرَّجْنَ | بعث+لَتُبْعَثُنَّ | ثقف+تَثْقَفَنَّهُم | جعل+تَجْعَلْنِي
استفعلو,اسْتَفعَلُو | اسْتَفَعْلُو | اسْتَفْعَلُو | اسْتَفْعِلُو | اسْتُفْعِلُو | وَاسْتَفْعَلُو | وَاسْتَفْعِلُو,mishkat_extracted,,verb,36,14,ءذن+اسْتَئْذَنُوكَ | حبب+اسْتَحَبُّوا | حفظ+اسْتُحْفِظُوا | رهب+وَاسْتَرْهَبُوهُم | ضعف+اسْتُضْعِفُوا
فعلل,الفُعْلُل | الْفُعْلُل | فَعْلَل | فُعلُل | فُعْلُل | فُعْلِل | وَفَعْلَل | وَفُعْلُل,mishkat_extracted | user_extensions,رباعي,noun | verb,36,27,(curated)+بَرْزَخ | (curated)+سُنْدُس | برزخ+بَرْزَخًا | برزخ+بَرْزَخٌ | بعثر+بُعْثِرَ
ففعلن,فَفَعَلْن | فَفَعِلُن | فَفَعَّلْن,mishkat_extracted,,verb,36,23,ءثر+فَأَثَرْنَ | ءخذ+فَأَخَذْنَاهُ | ءخذ+فَأَخَذْنَاهُم | بشر+فَبَشَّرْنَاهَا | بشر+فَبَشَّرْنَاهُ
يفتعل,يَفتَعِل | يَفْتَعِل | يَفْتَعْل,mishkat_extracted | user_extensions,verb_form_VIII,verb,34,17,(curated)+يَكْتَسِب | ءمر+يَأْتَمِرُونَ | جنب+يَجْتَنِبُونَ | خصص+يَخْتَصُّ | خصم+يَخْتَصِمُونَ
مستفعل,الْمُسْتَفَعْل | الْمُسْتَفْعَل | الْمُسْتَفْعِل | لِمُسْتَفَعْل | مُسْتَفَعْل | مُسْتَفِعْل | مُسْتَفْعَل | مُسْتَفْعِل | وَالْمُسْتَفْعَل | وَالْمُسْتَفْعِل,canonical_table | mishkat_extracted,اسم الفاعل | اسم المفعول,noun,32,24,(curated)+مُسْتَخْرِج | (curated)+مُسْتَخْرَج | ءخر+الْمُسْتَئْخِرِينَ | ءنس+مُسْتَئْنِسِينَ | بصر+مُسْتَبْصِرِينَ
ففعلت,فَفَعَلَت | فَفَعَلْت | فَفَعُلَت | فَفَعِلَت | فَفَعِلْت | فَفَعَّلْت | فَفَعْلَت | فَفُعْلَت | فَفِعْلَت,mishkat_extracted,,verb,29,22,ءخذ+فَأَخَذَتْكُمُ | ءخذ+فَأَخَذَتْهُم | ءخذ+فَأَخَذَتْهُمُ | ءخذ+فَأَخَذْتُهُم | بصر+فَبَصُرَت
فواعل,الفَّوَاعِل | الفَّوَاعْل | الْفَوَاعِل | فَوَاعِل | فَوَاعْل | وَالفَّوَاعْل | وَالْفَوَاعِل | وَفَوَاعِل,mishkat_extracted | user_extensions,جمع تكسير,noun,27,21,(curated)+فَوَاكِه | جرح+الْجَوَارِحِ | خلف+الْخَوَالِفِ | دبب+الدَّوَابِّ | دبب+وَالدَّوَابُّ
فعالت,بِفِعَالَت | فَعاَلَت | فَعَالَت | فَعَّالَت | فِعَالَت,mishkat_extracted,,noun,26,17,ءمن+أَمَانَتَهُ | بضع+بِضَاعَتَهُم | بضع+بِضَاعَتُنَا | تجر+تِجَارَتُهُم | جمل+جِمَالَتٌ
فاعال,فَاعاَل | فَاعَال | وَفَاعَال,mishkat_extracted | user_extensions,شاذ,noun,25,10,(curated)+آثَار | ءثر+ءَاثَارِ | ءثر+ءَاثَارِهِم | ءثر+ءَاثَارِهِمَا | ءثر+وَءَاثَارًا
فافتعل,فَافتَعَل | فَافتَعِل | فَافْتَعَل | فَافْتَعِل | فَافْتَعْل | فَافْتُعِل,mishkat_extracted,,verb,24,17,ءخذ+فَاتَّخَذَ | ءخذ+فَاتَّخِذْهُ | حمل+فَاحْتَمَلَ | خلط+فَاخْتَلَطَ | خلف+فَاخْتَلَفَ
افعيل,أَفَعِيل | إِفْعِيل | الإِفعِيل | وَالإِفعِيل,mishkat_extracted,,verb,23,8,بلس+إِبْلِيسَ | بلس+إِبْلِيسُ | قرب+أَقَرِيبٌ | نجل+الإِنجِيلَ | نجل+الإِنجِيلِ
فتفعل,فَتَفعَل | فَتَفعُل | فَتَفَعَّل | فَتَفَعْل | فَتَفِعْل | فَتَفْعَل | فَتَفْعُل | فَتَفْعِل | فَتُفَعِّل | فَتُفُعِّل | فَتُفْعِل,mishkat_extracted,,verb,23,22,ءكل+فَتَأْكُلُ | بسم+فَتَبَسَّمَ | بهت+فَتَبْهَتُهُم | خبت+فَتُخْبِتَ | خطف+فَتَخْطَفُهُ
مفعال,الْمِفْعَال | بِمِفْعَال | مِفْعَال | وَمِفْعَال,canonical_table | mishkat_extracted,اسم الآلة | صيغة مبالغة,noun,23,13,(curated)+مِعْطَاء | (curated)+مِفْتَاح | ثقل+مِثْقَالَ | ثقل+مِثْقَالُ | ثقل+مِثْقَالِ
فعالى,الفَّعَالَى | بِفُعَالَى | فَعَالَى | فُعَالَى | وَالفَّعَالَى | وَفُعَالَى,mishkat_extracted | user_extensions,جمع تكسير | شاذ,noun,22,9,(curated)+حَبَالَى | (curated)+أُسَارَى | ءسر+أُسَارَى | سكر+بِسُكَارَى | سكر+سُكَارَى
متفعل,الْمُتَفَعِّل | لِلْمُتَفَعِّل | مُتَفَعَّل | مُتَفَعِّل | وَالْمُتَفَعِّل,canonical_table | mishkat_extracted,اسم الفاعل | اسم المفعول,noun,22,18,(curated)+مُتَعَلِّم | (curated)+مُتَعَلَّم | برج+مُتَبَرِّجَاتٍ | حرف+مُتَحَرِّفًا | ربص+الْمُتَرَبِّصِينَ
تستفعل,تَسْتَفِعْل | تَسْتَفْعِل | تَسْتَفْعِلُ,mishkat_extracted | user_extensions,verb_form_X,verb,20,11,(curated)+تَسْتَخْرِجُ | (curated)+— | ءخر+تَسْتَئْخِرُونَ | خفف+تَسْتَخِفُّونَهَا | عجل+تَسْتَعْجِل
تفتعلو,تَفْتَعِلُو | تَفْتَعْلُو,mishkat_extracted,,verb,20,6,ءخذ+تَتَّخِذُوا | جنب+تَجْتَنِبُوا | خصم+تَخْتَصِمُوا | ردد+تَرْتَدُّوا | عذر+تَعْتَذِرُوا
فبعل,فِبَعَل | فِبَعْل | فِبُعْل,mishkat_extracted,,noun,20,7,بدر+بِبَدْرٍ | بدن+بِبَدَنِكَ | بطن+بِبَطْنِ | بعض+بِبَعْضٍ | بعض+بِبَعْضِ
تفتعل,تَفتَعِل | تَفْتَعِل | تَفْتَعْل,mishkat_extracted | user_extensions,verb_form_VIII,verb,19,10,(curated)+تَكْتَسِب | ءخذ+تَتَّخِذَ | ءخذ+تَتَّخِذُونَ | بءس+تَبْتَئِس | خصم+تَخْتَصِمُونَ
سيفعل,سَيَفْعَل | سَيَفْعُل | سَيَفْعِل | سَيُفْعَل | سَيُفْعِل | وَسَيَفْعَل | وَسَيَفْعِل | وَسَيُفَعَّل | وَسَيُفْعِل,mishkat_extracted,,verb,19,15,بطل+سَيُبْطِلُهُ | جعل+سَيَجْعَلُ | جنب+وَسَيُجَنَّبُهَا | حبط+وَسَيُحْبِطُ | حلف+سَيَحْلِفُونَ
فاعلتم,فاَعَلْتُم | فَأَعِلتُم | فَاعَلتُم | فَاعَلتُّم | فَاعَلْتُم,mishkat_extracted,,verb,19,8,ءمن+ءَأَمِنتُم | ءمن+ءَامَنتُم | ءنس+ءَانَسْتُم | جدل+جَادَلْتُم | حجج+حَاجَجْتُم
فافتعلو,فَافتَعِلُو | فَافْتَعَلُو | فَافْتَعِلُو,mishkat_extracted,,verb,19,14,ءخذ+فَاتَّخِذُوهُ | جنب+فَاجْتَنِبُوا | جنب+فَاجْتَنِبُوهُ | خلف+فَاخْتَلَفُوا | سبق+فَاسْتَبَقُوا
فاعلت,فَاعَلت | فَاعَلَت | فَاعَلْت | فَاعِلَت | وَفَاعِلَت,mishkat_extracted,,verb,18,10,ءذن+ءَاذَنتُكُم | ءمن+ءَامَنتُ | ءمن+ءَامَنَت | ءنس+ءَانَسْتُ | جدل+جَادَلْتَنَا
فياعيل,الفَّيَاعِيل | فَيَاعِيل | لِلفَّيَاعِيل | وَالفَّيَاعِيل,mishkat_extracted,,noun,18,7,شطن+الشَّيَاطِينَ | شطن+الشَّيَاطِينُ | شطن+الشَّيَاطِينِ | شطن+شَيَاطِينَ | شطن+شَيَاطِينِهِم
مفاعيل,بِمَفَاعِيل | لِمَفَاعِيل | مَفَاعِيل | وَالْمَفَاعِيل,mishkat_extracted | user_extensions,جمع تكسير,noun,18,9,(curated)+مَفَاتِيح | حرب+مَحَارِيبَ | سكن+لِمَسَاكِينَ | سكن+مَسَاكِينَ | سكن+وَالْمَسَاكِينَ
فعلال,بِفِعلَال | فَعْلَال | فُعْلَال | فِعلَال | فِعْلَال,mishkat_extracted | user_extensions,رباعي,noun,17,10,(curated)+قِنْطَار | برهن+بُرْهَانٌ | برهن+بُرْهَانَ | برهن+بُرْهَانَانِ | برهن+بُرْهَانَكُم
فعليت,فُعْلِيَّت | وَفُعْلِيَّت,mishkat_extracted,,noun,17,9,ذرر+ذُرِّيَّتَهُ | ذرر+ذُرِّيَّتَهُم | ذرر+ذُرِّيَّتُهُم | ذرر+ذُرِّيَّتِنَا | ذرر+ذُرِّيَّتِهِ
مفعولة,الْمَفْعُولَة | مَفْعُولَة,canonical_table | mishkat_extracted,اسم المفعول (feminine),noun,17,15,(curated)+مَكْتُوبَة | بثث+مَبْثُوثَةٌ | حشر+مَحْشُورَةً | رفع+مَرْفُوعَةٌ | رفع+مَرْفُوعَةٍ
افتعلت,افتَعَلَت | افْتَعلْت | افْتَعَلَت | افْتَعَلْت | افْتَعْلَت | افْتُعْلَت | وَافْتَعْلَت,mishkat_extracted,,verb,16,14,ءخذ+اتَّخَذَت | ءخذ+اتَّخَذْتَ | ءخذ+اتَّخَذْتُ | جثث+اجْتُثَّت | جمع+اجْتَمَعَتِ
فعلتمو,فَعَلْتُمُو | فَعِلْتُمُو | فَعَّلْتُمُو | وَفَعَّلْتُمُو,mishkat_extracted,,verb,16,13,ترك+تَرَكْتُمُوهَا | ثقف+ثَقِفْتُمُوهُم | دخل+دَخَلْتُمُوهُ | سءل+سَأَلْتُمُوهُ | سءل+سَأَلْتُمُوهُنَّ
افاعيل,أَفَاعِيل | الأَفَاعِيل | وَأَفَاعِيل,mishkat_extracted | user_extensions,جمع تكسير,verb,15,4,(curated)+أَحَادِيث | برق+وَأَبَارِيقَ | حدث+أَحَادِيثَ | حدث+الأَحَادِيثِ | سطر+أَسَاطِيرُ
ففاعل,فَفَأَعل | فَفَأَعِل | فَفَاعَل | فَفَاعِل,mishkat_extracted,,noun | verb,15,7,ءمن+أَفَأَمِنَ | ءنت+أَفَأَنتَ | سهم+فَسَاهَمَ | شرب+فَشَارِبُونَ | قتل+فَقَاتِل
فتعل,فَتَّعِل | فَتْعَل | فَتْعُل,mishkat_extracted,,noun,14,7,تبع+تَتَّبِع | تبع+تَتَّبِعَ | تبع+تَتَّبِعَانِّ | تبع+تَتَّبِعُونَ | تبع+تَتَّبِعِ
فليفعل,فَلْيَفعُل | فَلْيَفْعَل | فَلْيَفْعُل | فَلْيُفعِل | فَلْيُفْعِل,mishkat_extracted,,verb,14,11,ءكل+فَلْيَأْكُل | حذر+فَلْيَحْذَرِ | عمل+فَلْيَعْمَل | عمل+فَلْيَعْمَلِ | كتب+فَلْيَكْتُب
متفاعل,الْمُتَفَاعِل | مُتَفَاعَل | مُتَفَاعِل,canonical_table | mishkat_extracted,اسم الفاعل | اسم المفعول,noun,14,8,(curated)+مُتَشَارِك | (curated)+مُتَشَارَك | جنف+مُتَجَانِفٍ | ركب+مُتَرَاكِبًا | شبه+مُتَشَابِهًا
يافعل,يَافَعْل,mishkat_extracted,,noun,14,2,ءرض+يَاأَرْضُ | ءهل+يَاأَهْلَ
افتعال,افتِعَال | افْتِعاَل | اِفْتِعَال | بِافْتِعَال | وَافْتِعاَل,canonical_table | mishkat_extracted,المصدر الأصلي,verb,13,8,(curated)+اِجْتِهَاد | ءخذ+بِاتِّخَاذِكُمُ | خلف+اخْتِلاَفًا | خلف+اخْتِلاَفُ | خلف+اخْتِلاَفِ
فاستفعلو,فَاسْتَفَعْلُو | فَاسْتَفْعَلُو | فَاسْتَفْعِلُو,mishkat_extracted,,verb,13,8,ءذن+فَاسْتَئْذَنُوكَ | بشر+فَاسْتَبْشِرُوا | حبب+فَاسْتَحَبُّوا | شهد+فَاسْتَشْهِدُوا | غفر+فَاسْتَغْفَرُوا
فعلية,فَعْلِيَّة | فُعْلِيَّة | فُعْلِيَّة | فِعْلِيَّة | وَفُعْلِيَّة,mishkat_extracted | user_extensions,شاذ,noun,13,7,(curated)+حَرْبِيَّة | (curated)+قُدْسِيَّة | ذرر+ذُرِّيَّةً | ذرر+ذُرِّيَّةٌ | ذرر+ذُرِّيَّةَ
فنعل,فَنعَل | فَنعُل | فُنعِل | فُنَعِّل | لَفَنعُل | لِفَنعُل | وَفُنعِل | وَفُنَعِّل,mishkat_extracted,,noun,13,12,نزل+نُنَزِّل | نزل+نُنَزِّلُ | نزل+نُنَزِّلُهُ | نزل+وَنُنَزِّلُ | نسخ+نَنسَخ
نفعلن,لَنَفَّعَّلَن | لَنَفْعَلَن | لَنَفْعُلَن | لَنُفَعِّلَن | لَنُفْعِلَن | نَفْعَلَن | وَلَنَفْعِلَن | وَلَنُفْعِلَن,mishkat_extracted,,verb,12,12,حرق+لَنُحَرِّقَنَّهُ | حشر+لَنَحْشُرَنَّهُم | حضر+لَنُحْضِرَنَّهُم | دخل+لَنُدْخِلَنَّهُم | ذهب+لَنَذْهَبَنَّ
اتفعل,أَتَفْعَل | أَتَفْعُل | أَتَفْعِل | أَتُفَعِّل | أَتُفْعِل,mishkat_extracted,,verb,11,10,جعل+أَتَجْعَلُ | حدث+أَتُحَدِّثُونَهُم | صبر+أَتَصْبِرُونَ | عبد+أَتَعْبُدُونَ | عجب+أَتَعْجَبِينَ
تفاعلو,تَفَاعَلُو | تُفَاعِلُو | تُفَاعْلُو | لِتَفَاعَلُو,mishkat_extracted,,verb,11,10,بشر+تُبَاشِرُوهُنَّ | جدل+تُجَادِلُوا | خلط+تُخَالِطُوهُم | ضرر+تُضَارُّوهُنَّ | عرف+لِتَعَارَفُوا
تفعلة,التَّفْعُلَة | التَّفْعِلَة | تَفِعْلَة | تَفْعِلَة,mishkat_extracted,,verb,11,6,بصر+تَبْصِرَةً | حلل+تَحِلَّةَ | ذكر+التَّذْكِرَةِ | ذكر+تَذْكِرَةً | ذكر+تَذْكِرَةٌ
فتعلو,فَتَّعِلُو | فُتْعَلُو | وَفْتَعِلُو,mishkat_extracted,,noun,11,4,ءمر+وَأْتَمِرُوا | تبع+تَتَّبِعُوا | تبع+تَتَّبِعُونَا | ترك+تُتْرَكُوا
مفعيل,الْمِفْعِيل | مِفْعِيل | وَالْمِفْعِيل,mishkat_extracted,,noun,11,6,سكن+الْمِسْكِينَ | سكن+الْمِسْكِينِ | سكن+مِسْكِينًا | سكن+مِسْكِينٌ | سكن+مِسْكِينٍ
يافاعل,وَيَافَاعَل | يَافَاعَل | يَافَاعِل,mishkat_extracted,,noun,11,6,ءدم+وَيَاءَادَمُ | ءدم+يَاءَادَمُ | سمر+يَاسَامِرِيُّ | صحب+يَاصَاحِبَيِ | صلح+يَاصَالِحُ
سنفعل,سَنَفُعْل | سَنَفْعُل | سَنُفَعِّل | سَنُفْعِل,mishkat_extracted,,verb,10,8,دخل+سَنُدْخِلُهُم | شدد+سَنَشُدُّ | عذب+سَنُعَذِّبُهُم | فرغ+سَنَفْرُغُ | قتل+سَنُقَتِّلُ
فافعلن,فَأَفعِلْن | فَأَفْعَلْن | فَافَّعِلْن,mishkat_extracted,,verb,10,5,تبع+فَاتَّبِعْنِي | غرق+فَأَغْرَقْنَاهُ | غرق+فَأَغْرَقْنَاهُم | نظر+فَأَنظِرْنِي | هلك+فَأَهْلَكْنَاهُم
فعيلت,بِفَعِيلَت | فَعِيلَت | وَفَعِيلَت,mishkat_extracted,,noun,10,8,خطء+خَطِيئَتُهُ | خطء+خَطِيئَتِي | سكن+سَكِينَتَهُ | طرق+بِطَرِيقَتِكُمُ | عشر+عَشِيرَتَكَ
فيفعلو,فَيَفعُلُو | فَيَفُعْلُو | فَيَفْعَلُو | فَيُفِعْلُو | فَيُفْعِلُو,mishkat_extracted,,verb,10,5,حلل+فَيُحِلُّوا | سبب+فَيَسُبُّوا | شفع+فَيَشْفَعُوا | صبح+فَيُصْبِحُوا | نظر+فَيَنظُرُوا
